itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
462330,2,KODEX 2차전지산업레버리지,625,5,-41,-6.16,627.0,-54.7247,21579063,13715,1518
114100,6,RISE 국고채3년,111045,2,40,0.04,111039.0,1.3226,187,20,1517
0008S0,4,TIGER 미국배당다우존스타겟데일리커버드콜,8470,5,-65,-0.76,8450.0,-10.5815,248417,2108,1503
0000J0,2,PLUS 한화그룹주,20275,5,-385,-1.86,20314.0,22.1328,246230,4987,1500
480030,4,ACE 미국500데일리타겟커버드콜(합성),9495,5,-30,-0.31,9475.0,-9.9717,58558,556,1500
492500,7,1Q 현대차그룹채권(A+이상)&국고통안,51330,2,25,0.05,51326.0,1.1833,285,14,1477
143850,4,TIGER 미국S&P500선물(H),62360,5,-175,-0.28,62339.0,-4.7957,2588,161,1450
364970,2,TIGER 바이오TOP10,6895,5,-135,-1.92,6908.0,-13.7318,555700,3859,1438
244580,2,KODEX 바이오,8695,5,-65,-0.74,8706.0,5.0989,182768,1590,1433
0016X0,6,SOL 중단기회사채(A-이상)액티브,50660,2,15,0.03,50646.0,1.1888,76985,3899,1417
283580,4,KODEX 차이나CSI300,11990,5,-120,-0.99,11965.0,-4.6457,82234,993,1415
488500,4,TIGER 미국S&P500동일가중,10195,5,-65,-0.63,10173.0,-6.9979,73613,750,1407
433330,4,SOL 미국S&P500,16680,5,-120,-0.71,16678.0,-7.6315,31718,530,1401
309230,4,ACE 미국WideMoat동일가중,24810,5,-135,-0.54,24785.0,-8.0844,20823,518,1389
228810,2,TIGER 미디어컨텐츠,6750,2,230,3.53,6762.0,10.4149,530796,3548,1373
232080,1,TIGER 코스닥150,11770,5,-35,-0.3,11789.0,-12.0081,136515,1604,1370
464240,6,KIWOOM 26-09회사채(AA-이상)액티브,53015,3,0,0.0,53019.0,1.135,1095,58,1368
479730,4,TIGER 인도빌리언컨슈머,9970,2,40,0.4,9947.0,3.5345,31107,306,1331
483230,6,RISE 25-06 은행채(AA+이상)액티브,51650,2,15,0.03,51639.0,0.702,11,0,1326
498180,6,파워 종합채권(AA-이상)액티브,102920,3,0,0.0,102905.0,1.1548,0,0,1308
464930,4,TIGER 글로벌혁신블루칩TOP10,15030,2,35,0.23,15022.0,-8.5671,18072,271,1308
414780,4,TIGER 차이나과창판STAR50(합성),7575,5,-90,-1.17,7695.0,-12.9966,61090,466,1288
139230,2,TIGER 200 중공업,8390,5,-40,-0.47,8384.0,22.6181,843148,7014,1285
136340,6,RISE 중기우량회사채,107655,2,50,0.05,107670.0,1.2819,413,44,1276
476760,6,ACE 미국30년국채액티브,9140,2,15,0.16,9140.0,-8.2177,349680,3201,1270
284430,6,KODEX 200미국채혼합,12910,2,30,0.23,12910.0,-2.4982,42668,550,1270
182480,7,TIGER 미국MSCI리츠(합성 H),12165,5,-50,-0.41,12227.0,-5.872,10282,124,1253
475050,2,ACE KPOP포커스,11990,2,345,2.96,11977.0,14.2226,672538,7950,1253
319640,4,TIGER 골드선물(H),21045,5,-50,-0.24,21066.0,12.2372,33210,695,1242
466400,6,1Q 25-08 회사채(A+이상)액티브,108615,5,-20,-0.02,108616.0,0.84,60,6,1235
302450,1,RISE 코스피,27110,2,10,0.04,27150.0,-1.2247,1037,28,1234
144600,5,KODEX 은선물(H),5860,5,-55,-0.93,5855.0,-0.1688,267694,1562,1231
0000Y0,6,HK 26-12 회사채(AA-이상)액티브,101905,5,-5,0.0,101919.0,1.1764,10,1,1228
282000,3,RISE 국고채3년선물인버스,109870,5,-60,-0.05,109911.0,-0.0046,4,0,1226
485540,4,KODEX 미국AI테크TOP10,10520,2,15,0.14,10539.0,-8.0767,65309,688,1220
445290,2,KODEX 로봇액티브,13915,5,-10,-0.07,13911.0,-8.7604,99315,1383,1211
463250,2,TIGER K방산&우주,23110,2,380,1.67,23118.0,32.4823,486751,11161,1202
451060,1,1Q K200액티브,11210,2,35,0.31,11225.0,-0.843,6200,69,1194
465350,3,RISE 2차전지TOP10인버스(합성),46000,2,1395,3.13,45983.0,39.7618,327646,14960,1185
462540,6,SOL 25-09 회사채(AA-이상)액티브,54330,3,0,0.0,54323.0,0.8539,843,45,1181
364960,2,TIGER BBIG,5420,5,-90,-1.63,5405.0,-13.4873,53215,288,1171
304940,4,KODEX 미국나스닥100선물(H),24255,5,-50,-0.21,24315.0,-4.7983,45651,1110,1164
442320,4,RISE 글로벌원자력,23905,2,1455,6.48,22924.0,3.0998,350221,8308,1159
489570,6,HANARO 25-12 은행채(AA+이상)액티브,10220,5,-5,-0.05,10229.0,0.7885,1565,16,1120
490090,4,TIGER 미국AI빅테크10,10715,2,15,0.14,10744.0,-9.7047,99426,1069,1120
157490,2,TIGER 소프트웨어,7745,5,-5,-0.06,7749.0,-6.4914,274350,2125,1100
476750,6,ACE 미국30년국채엔화노출액티브(H),8795,5,-5,-0.06,8787.0,-4.4725,159436,1403,1099
478150,4,TIMEFOLIO 글로벌우주테크&방산액티브,15685,5,-185,-1.17,15690.0,9.5994,155321,2434,1090
326240,2,RISE IT플러스,13685,5,-70,-0.51,13693.0,-13.3435,5076,69,1089
168580,4,ACE 중국본토CSI300,26960,5,-140,-0.52,26914.0,-5.3937,18879,509,1089
495710,6,BNK 26-06 특수채(AAA이상)액티브,50925,2,15,0.03,50903.0,0.9718,1,0,1077
473440,6,ACE 11월만기자동연장회사채AA-이상액티브,10630,3,0,0.0,10629.0,0.9496,4149,44,1076
401470,2,KODEX 메타버스액티브,7360,2,80,1.1,7378.0,0.8449,40829,299,1075
465780,6,마이티 26-09 특수채(AAA)액티브,106205,2,50,0.05,106196.0,1.1,193,20,1074
